Site_ID,Asset_Type,Related_ID,File,Caption,Display_Order,External_URL,Embed_HTML,Notes
L5,current_photo,L5,detail_assets/photos/L5_photo_07.jpg,,7,,,
L5,drawing,L5,detail_assets/drawings/L5_drawing_01.jpg,Plan,1,,,
L6,current_photo,L6,detail_assets/photos/L6_photo_01.jpg,,1,,,
L6,current_photo,L6,detail_assets/photos/L6_photo_02.jpg,,2,,,
L6,current_photo,L6,detail_assets/photos/L6_photo_03.jpg,,3,,,
L6,current_photo,L6,detail_assets/photos/L6_photo_04.jpg,,4,,,
L7,current_photo,L7,detail_assets/photos/L7_photo_01.jpg,,1,,,
L7,current_photo,L7,detail_assets/photos/L7_photo_02.jpg,,2,,,
L7,current_photo,L7,detail_assets/photos/L7_photo_03.jpg,,3,,,
L7,current_photo,L7,detail_assets/photos/L7_photo_04.jpg,,4,,,
M001,current_photo,M001,detail_assets/photos/M001_photo_01.jpg,,1,,,
M001,current_photo,M001,detail_assets/photos/M001_photo_02.jpg,,2,,,
M002,current_photo,M002,detail_assets/photos/M002_photo_01.jpg,,1,,,
M003,current_photo,M003,detail_assets/photos/M003_photo_01.jpg,,1,,,
M004,current_photo,M004,detail_assets/photos/M004_photo_01.jpg,,1,,,
M005,current_photo,M005,detail_assets/photos/M005_photo_01.jpg,,1,,,
M006,current_photo,M006,detail_assets/photos/M006_photo_01.jpg,,1,,,
M007,current_photo,M007,detail_assets/photos/M007_photo_01.jpg,,1,,,
M008,current_photo,M008,detail_assets/photos/M008_photo_01.jpg,,1,,,
M009,current_photo,M009,detail_assets/photos/M009_photo_01.jpg,,1,,,
M010,current_photo,M010,detail_assets/photos/M010_photo_01.jpg,,1,,,
M010,current_photo,M010,detail_assets/photos/M010_photo_02.jpg,,2,,,
M010,current_photo,M010,detail_assets/photos/M010_photo_03.jpg,,3,,,
M010,current_photo,M010,detail_assets/photos/M010_photo_04.jpg,,4,,,
M010,current_photo,M010,detail_assets/photos/M010_photo_05.jpg,,5,,,
M010,current_photo,M010,detail_assets/photos/M010_photo_06.jpg,,6,,,
M010,current_photo,M010,detail_assets/photos/M010_photo_07.jpg,,7,,,
M011,current_photo,M011,detail_assets/photos/M011_photo_01.jpg,,1,,,
M012,current_photo,M012,detail_assets/photos/M012_photo_01.jpg,,1,,,
M012,current_photo,M012,detail_assets/photos/M012_photo_02.jpg,,2,,,
M012,current_photo,M012,detail_assets/photos/M012_photo_03.jpg,,3,,,
M012,current_photo,M012,detail_assets/photos/M012_photo_04.jpg,,4,,,
M013,current_photo,M013,detail_assets/photos/M013_photo_01.jpg,,1,,,
M015,current_photo,M015,detail_assets/photos/M015_photo_01.jpg,,1,,,
M018,current_photo,M018,detail_assets/photos/M018_photo_01.jpg,,1,,,
M020,current_photo,M020,detail_assets/photos/M020_photo_01.jpg,,1,,,
M020,drawing,M020,detail_assets/drawings/M020_drawing_01.jpg,Temple Plan,1,,,
M021,current_photo,M021,detail_assets/photos/M021_photo_01.jpg,,1,,,
